tags,answers,contagem,media_title,media_reso(hr),media_answer,vote,media_visited,ano
.net,14,14,5,114,91,13,108,2020
.net,29,23,6,281,132,52,161,2019
.net,33,28,5,63,105,48,224,2018
.net,55,45,5,393,117,143,472,2017
.net,58,41,5,152,133,181,497,2016
.net,85,66,5,1256,58,148,527,2015
.net,47,35,6,938,70,178,1026,2014
.net,2,1,9,0,292,20,3000,2013
ajax,9,6,5,5,35,-4,52,2020
ajax,22,18,5,478,74,2,365,2019
ajax,41,39,5,266,35,12,160,2018
ajax,39,31,5,93,42,29,553,2017
ajax,53,37,5,639,61,95,450,2016
ajax,38,31,5,239,39,65,617,2015
ajax,22,16,5,63,46,21,498,2014
algoritmo,21,16,6,28,328,17,140,2020
algoritmo,36,28,5,704,237,166,285,2019
algoritmo,27,25,6,980,139,24,532,2018
algoritmo,50,27,4,496,288,211,4023,2017
algoritmo,44,27,5,687,157,153,1725,2016
algoritmo,69,29,4,215,294,491,3964,2015
algoritmo,75,35,4,148,322,416,5934,2014
algoritmo,9,2,10,0,309,71,10500,2013
android,12,10,6,89,48,0,43,2021
android,89,78,6,102,48,-34,122,2020
android,303,254,5,285,41,89,209,2019
android,628,539,5,289,36,325,353,2018
android,1271,1009,5,362,43,775,644,2017
android,1353,1021,5,321,47,1358,816,2016
android,1240,915,5,622,47,1604,1025,2015
android,841,609,5,359,57,1248,1640,2014
android,18,5,7,249,161,61,11462,2013
android-studio,3,2,12,0,53,-2,13,2021
android-studio,14,13,6,7,29,-6,62,2020
android-studio,43,29,6,418,43,-2,547,2019
android-studio,36,33,6,575,34,23,525,2018
android-studio,25,22,6,315,32,12,1541,2017
android-studio,16,14,4,969,34,8,1551,2016
android-studio,21,16,6,420,38,29,2147,2015
android-studio,4,3,5,471,31,11,5369,2014
angular,13,11,6,12,32,9,27,2021
angular,147,132,6,92,34,-25,110,2020
angular,362,293,6,195,32,126,342,2019
angular,363,284,5,636,33,144,875,2018
angular,107,70,5,1309,46,70,1396,2017
angular,29,22,5,3091,48,19,531,2016
angular,1,1,4,210,8,0,825,2015
angularjs,3,3,5,64,15,-1,18,2021
angularjs,17,16,5,657,20,3,204,2020
angularjs,36,28,5,311,45,7,784,2019
angularjs,96,82,5,726,33,50,409,2018
angularjs,297,224,5,350,35,301,668,2017
angularjs,398,264,5,484,47,378,1020,2016
angularjs,280,200,5,902,47,384,1462,2015
angularjs,56,41,5,322,49,87,1055,2014
angularjs,2,1,3,0,12,8,1000,2013
apache,2,2,7,22,36,-2,158,2020
apache,6,5,5,378,117,10,262,2019
apache,26,18,6,1377,57,11,679,2018
apache,43,34,5,446,58,62,621,2017
apache,29,23,4,71,53,45,725,2016
apache,65,45,5,1272,80,150,2596,2015
apache,54,38,6,594,52,157,4587,2014
apache,3,1,4,1,115,46,1000,2013
api,2,2,8,37,33,0,13,2021
api,33,25,6,173,79,7,182,2020
api,28,25,7,98,57,31,878,2019
api,38,21,5,944,123,16,788,2018
api,28,23,5,428,99,71,1075,2017
api,26,20,6,392,71,60,1359,2016
api,17,10,5,1188,182,253,21699,2015
api,21,11,5,30,196,241,7145,2014
array,2,2,5,60,36,0,34,2021
array,36,34,5,45,59,-7,74,2020
array,60,48,5,21,67,25,151,2019
array,77,57,5,189,62,67,326,2018
array,75,50,5,80,72,100,781,2017
array,33,23,5,190,74,53,604,2016
array,20,15,5,2769,33,30,972,2015
array,35,25,5,673,92,75,951,2014
asp.net,2,1,7,78,50,0,14,2021
asp.net,10,9,6,35,46,0,55,2020
asp.net,18,16,6,130,36,11,200,2019
asp.net,59,53,5,492,39,22,168,2018
asp.net,42,34,5,115,41,44,424,2017
asp.net,40,37,6,860,40,42,393,2016
asp.net,65,50,5,1385,49,111,2060,2015
asp.net,63,46,5,769,54,103,719,2014
asp.net,7,3,6,447,100,37,2598,2013
asp.net-mvc,3,3,6,145,19,0,13,2021
asp.net-mvc,16,14,6,78,32,-1,40,2020
asp.net-mvc,54,43,5,209,40,12,233,2019
asp.net-mvc,160,126,6,295,39,86,266,2018
asp.net-mvc,161,129,6,902,43,125,529,2017
asp.net-mvc,199,155,5,495,59,270,553,2016
asp.net-mvc,240,182,5,416,48,395,880,2015
asp.net-mvc,168,121,5,71,58,277,891,2014
asp.net-mvc-5,3,3,8,107,35,-1,1085,2019
asp.net-mvc-5,4,4,7,39,22,3,98,2018
asp.net-mvc-5,32,25,6,1300,34,34,944,2017
asp.net-mvc-5,25,18,5,61,53,29,862,2016
asp.net-mvc-5,51,34,5,340,48,73,1199,2015
asp.net-mvc-5,118,85,5,113,43,170,982,2014
banco-de-dados,6,6,5,10,50,-1,26,2021
banco-de-dados,37,32,7,364,85,9,113,2020
banco-de-dados,120,89,6,228,77,79,232,2019
banco-de-dados,144,105,6,297,100,176,760,2018
banco-de-dados,238,167,5,471,102,351,1339,2017
banco-de-dados,181,124,5,503,120,418,1173,2016
banco-de-dados,114,77,5,265,178,344,1370,2015
banco-de-dados,133,64,5,532,223,600,3543,2014
banco-de-dados,4,1,4,20,535,37,13000,2013
c,73,54,6,13,83,10,37,2021
c,465,365,5,55,84,31,87,2020
c,756,529,5,54,74,217,208,2019
c,1126,816,5,102,79,673,572,2018
c,1164,821,5,231,89,1187,979,2017
c,889,598,5,190,87,1350,1532,2016
c,813,508,5,342,100,1836,1800,2015
c,531,284,5,197,111,1393,3031,2014
c#,88,72,7,17,51,18,32,2021
c#,519,430,6,94,55,108,69,2020
c#,1630,1204,5,194,55,1317,195,2019
c#,2348,1766,5,240,50,1726,342,2018
c#,3556,2461,5,229,56,4372,582,2017
c#,2717,1904,5,391,64,4680,735,2016
c#,2924,1924,5,629,63,6146,1120,2015
c#,2472,1443,5,184,79,6259,1989,2014
c#,97,42,5,92,113,401,4664,2013
c++,8,7,4,41,47,-1,22,2021
c++,126,102,6,123,80,61,77,2020
c++,163,126,5,188,80,69,149,2019
c++,302,243,5,240,74,298,406,2018
c++,331,245,5,264,80,297,512,2017
c++,281,215,5,438,74,496,800,2016
c++,249,187,5,303,90,542,1143,2015
c++,262,165,5,515,95,562,1298,2014
c++,7,3,5,16,319,59,1995,2013
cakephp,1,1,5,3,9,-1,10,2020
cakephp,3,3,5,1952,23,0,105,2019
cakephp,1,1,5,449,40,0,51,2018
cakephp,13,10,4,483,39,6,117,2017
cakephp,26,21,5,218,33,8,144,2016
cakephp,61,49,5,463,30,47,301,2015
cakephp,32,25,4,105,37,25,396,2014
codeigniter,2,2,5,69,42,-2,122,2020
codeigniter,10,7,4,41,42,2,213,2019
codeigniter,16,14,5,63,35,5,253,2018
codeigniter,24,20,5,140,53,23,520,2017
codeigniter,26,22,5,32,43,17,496,2016
codeigniter,45,33,5,1294,34,34,723,2015
codeigniter,15,9,4,130,68,-3,1000,2014
codeigniter,2,1,9,105,187,2,377,2013
css,14,9,5,20,34,3,27,2021
css,149,125,5,63,39,-1,72,2020
css,392,270,5,55,62,303,221,2019
css,580,407,5,234,56,702,464,2018
css,668,424,5,305,48,589,1063,2017
css,427,265,5,440,50,496,2006,2016
css,507,310,5,713,61,1061,2567,2015
css,469,231,5,261,80,1148,5875,2014
css,45,12,6,9,146,201,22569,2013
css3,3,3,10,5,16,2,21,2021
css3,12,9,5,65,25,0,102,2020
css3,36,26,5,4,51,32,196,2019
css3,50,30,5,2,64,51,623,2018
css3,50,37,5,284,56,68,333,2017
css3,28,21,5,331,68,59,1371,2016
css3,26,18,4,1862,47,25,545,2015
css3,25,14,5,128,84,33,385,2014
delphi,2,2,7,95,11,2,24,2021
delphi,38,30,6,203,40,2,121,2020
delphi,78,61,5,510,39,40,214,2019
delphi,199,147,5,592,48,169,415,2018
delphi,232,169,5,895,46,229,654,2017
delphi,257,185,5,629,43,282,758,2016
delphi,229,157,5,960,71,417,1395,2015
delphi,272,179,5,114,64,580,1845,2014
delphi,4,2,6,1,70,18,3000,2013
django,3,2,3,14,50,1,22,2021
django,29,25,6,204,48,-13,81,2020
django,48,39,6,45,54,20,195,2019
django,19,18,6,685,21,6,137,2018
django,26,23,6,1236,33,20,448,2017
django,41,36,5,242,32,37,442,2016
django,47,36,5,570,61,76,679,2015
django,12,11,6,2,54,33,814,2014
django,3,1,9,0,44,-1,660,2013
docker,1,1,7,21,26,0,15,2021
docker,18,14,5,210,67,5,168,2020
docker,40,31,5,521,76,34,271,2019
docker,24,20,6,378,65,26,680,2018
docker,41,33,5,1474,74,62,809,2017
docker,12,8,4,439,135,33,489,2016
docker,4,3,9,2,62,3,896,2015
excel,19,15,6,69,40,2,18,2021
excel,53,47,6,213,43,-7,125,2020
excel,115,92,6,466,35,12,394,2019
excel,134,105,6,342,44,76,1225,2018
excel,187,132,5,586,57,146,2390,2017
excel,105,82,6,529,75,157,1324,2016
excel,93,63,6,838,82,176,2623,2015
excel,38,28,5,1129,71,102,11066,2014
firebase,3,3,4,11,13,-1,18,2021
firebase,18,16,5,258,39,1,182,2020
firebase,30,28,6,247,36,2,230,2019
firebase,48,39,5,487,39,12,374,2018
firebase,17,15,5,1710,45,8,739,2017
firebase,6,4,6,6559,35,6,1717,2016
firebase,1,1,7,9941,16,2,532,2015
flutter,7,6,4,13,71,1,19,2021
flutter,174,145,6,66,53,4,176,2020
flutter,39,33,5,222,57,10,704,2019
git,8,6,6,31,90,7,39,2021
git,117,86,6,43,68,79,268,2020
git,125,98,5,145,59,183,829,2019
git,193,144,5,509,77,324,1127,2018
git,160,103,5,856,79,302,2185,2017
git,132,90,6,895,73,289,2274,2016
git,154,90,5,875,95,568,4371,2015
git,140,69,5,262,112,671,7451,2014
git,11,4,6,82,143,75,8376,2013
htaccess,1,1,4,0,6,1,17,2020
htaccess,15,13,6,17,40,3,190,2019
htaccess,28,23,5,53,33,-3,260,2018
htaccess,82,64,5,376,37,54,423,2017
htaccess,34,28,5,67,52,47,1194,2016
htaccess,44,32,5,766,49,50,753,2015
htaccess,23,13,4,298,47,41,1015,2014
html,62,49,6,21,34,-4,30,2021
html,423,326,6,39,51,-154,78,2020
html,1028,714,5,95,52,568,302,2019
html,1498,1021,5,200,52,1197,735,2018
html,1373,856,5,315,53,1266,1532,2017
html,895,578,5,477,50,1099,2039,2016
html,923,546,5,664,62,1577,3085,2015
html,710,354,5,699,74,1559,5619,2014
html,8,4,6,0,55,24,2468,2013
html5,13,7,5,2,51,4,44,2021
html5,45,35,6,23,46,3,69,2020
html5,151,113,5,161,56,90,184,2019
html5,200,149,5,186,61,222,689,2018
html5,190,129,5,649,50,184,2015,2017
html5,149,95,5,859,65,203,986,2016
html5,137,96,5,637,46,236,3298,2015
html5,87,52,5,362,60,203,2989,2014
html5,3,2,5,3,55,11,1500,2013
ionic,3,3,7,113,21,2,19,2021
ionic,7,7,5,295,17,-5,89,2020
ionic,49,44,6,223,29,-8,355,2019
ionic,112,88,5,259,31,34,359,2018
ionic,68,56,5,430,29,49,1134,2017
ionic,37,27,5,948,41,29,791,2016
ionic,11,9,4,54,45,15,1484,2015
ios,2,2,4,0,16,2,19,2021
ios,12,10,8,199,32,-2,155,2020
ios,33,27,6,496,44,0,260,2019
ios,39,30,5,576,43,5,334,2018
ios,111,73,6,462,55,68,915,2017
ios,116,91,5,991,38,84,241,2016
ios,201,154,5,647,51,169,352,2015
ios,154,112,5,823,57,139,336,2014
ios,5,2,4,11,172,14,284,2013
java,71,52,6,15,62,11,34,2021
java,638,532,6,89,79,87,103,2020
java,1546,1206,5,149,68,627,232,2019
java,2321,1794,5,248,60,1446,377,2018
java,3384,2569,5,306,60,3267,583,2017
java,2955,2120,5,402,71,4206,766,2016
java,2796,1960,5,575,74,5763,1463,2015
java,2013,1279,5,332,89,4942,2367,2014
java,60,23,6,508,208,446,10013,2013
javascript,308,230,6,15,55,69,39,2021
javascript,3014,2223,6,65,61,399,109,2020
javascript,4453,3106,5,106,50,1938,290,2019
javascript,5119,3440,5,186,47,2840,481,2018
javascript,5717,3696,5,269,43,5290,920,2017
javascript,4052,2574,5,326,50,4993,1210,2016
javascript,4143,2460,5,418,58,7240,1939,2015
javascript,3346,1693,5,212,83,9704,3942,2014
javascript,133,40,6,29,151,858,13691,2013
jquery,6,6,5,10,54,-3,31,2021
jquery,63,54,6,42,35,-17,70,2020
jquery,290,210,5,25,42,94,160,2019
jquery,592,421,5,140,37,285,393,2018
jquery,942,658,5,202,35,604,624,2017
jquery,734,508,5,387,34,700,1235,2016
jquery,884,552,5,553,42,1084,1437,2015
jquery,824,464,5,57,57,1305,2220,2014
jquery,20,9,6,1,80,62,1273,2013
jsf,3,3,8,53,17,-3,41,2020
jsf,13,12,6,179,42,8,80,2019
jsf,32,26,6,284,35,4,204,2018
jsf,22,19,5,352,41,15,277,2017
jsf,53,48,5,1130,28,33,403,2016
jsf,60,50,5,1562,31,86,973,2015
jsf,29,25,5,142,66,39,1030,2014
jsf,2,1,5,24,142,5,1000,2013
json,3,3,5,6,20,1,26,2021
json,41,34,6,171,39,-4,109,2020
json,70,55,5,491,51,32,217,2019
json,56,49,5,700,35,47,377,2018
json,75,52,5,122,61,125,1253,2017
json,68,50,5,595,46,154,1665,2016
json,54,41,5,1485,50,101,1778,2015
json,48,26,5,1576,94,93,2956,2014
laravel,10,7,7,35,39,3,23,2021
laravel,81,59,6,107,43,-24,79,2020
laravel,167,136,6,204,36,53,345,2019
laravel,211,180,5,350,36,116,399,2018
laravel,203,161,5,720,41,209,1095,2017
laravel,190,147,5,549,50,306,1221,2016
laravel,59,40,6,318,65,93,1589,2015
laravel,37,20,5,49,51,25,691,2014
laravel-5,1,1,8,3,13,-2,21,2020
laravel-5,13,11,5,221,37,-1,158,2019
laravel-5,23,21,4,608,28,15,421,2018
laravel-5,35,31,5,1355,28,21,413,2017
laravel-5,59,47,5,968,36,56,954,2016
laravel-5,7,6,5,3,12,14,182,2015
linux,2,2,8,79,66,0,14,2021
linux,33,26,6,262,53,20,143,2020
linux,57,45,6,410,73,32,175,2019
linux,109,77,6,448,53,64,412,2018
linux,139,101,5,1060,63,137,1125,2017
linux,116,87,6,1055,62,184,2255,2016
linux,127,76,5,910,64,222,1547,2015
linux,95,50,6,597,85,160,4059,2014
linux,8,3,6,26,289,39,910,2013
lua,15,12,6,1637,67,13,49,2020
lua,7,6,4,1564,49,4,205,2019
lua,7,5,6,1206,41,9,137,2018
lua,27,20,5,41,71,16,185,2017
lua,21,15,5,502,42,50,312,2016
lua,45,35,4,1566,35,108,276,2015
lua,27,23,4,1752,37,76,269,2014
mongodb,1,1,5,0,57,0,11,2021
mongodb,4,3,5,4,54,2,56,2020
mongodb,16,14,5,484,27,4,135,2019
mongodb,26,22,5,1473,28,19,202,2018
mongodb,37,35,5,1904,36,36,386,2017
mongodb,21,16,5,859,46,28,638,2016
mongodb,8,7,5,591,48,15,367,2015
mongodb,7,5,6,33,56,16,1491,2014
mysql,48,40,7,11,71,28,38,2021
mysql,339,273,6,90,39,9,72,2020
mysql,710,508,5,87,48,314,212,2019
mysql,944,682,5,267,44,585,584,2018
mysql,983,679,5,207,48,1117,943,2017
mysql,811,547,5,449,48,1071,1500,2016
mysql,737,475,5,656,61,1259,2576,2015
mysql,563,305,5,159,80,1110,4474,2014
mysql,22,8,6,66,167,102,4236,2013
node.js,8,8,6,43,24,2,26,2021
node.js,158,138,6,214,42,-21,109,2020
node.js,200,166,5,387,41,79,400,2019
node.js,137,109,5,817,43,42,1209,2018
node.js,144,123,5,1229,34,158,888,2017
node.js,82,65,5,2108,71,156,864,2016
node.js,68,51,5,1680,55,149,1102,2015
node.js,49,32,5,41,66,100,2412,2014
node.js,4,1,4,1,137,0,506,2013
oracle,19,15,5,104,126,1,107,2020
oracle,33,25,5,318,25,14,573,2019
oracle,47,42,4,698,47,8,541,2018
oracle,54,45,5,689,55,61,1493,2017
oracle,50,35,6,752,29,42,1634,2016
oracle,29,22,5,771,39,32,2008,2015
oracle,25,19,6,434,42,35,3043,2014
oracle,1,1,3,22,80,7,12000,2013
orientação-a-objetos,1,1,2,1,718,0,41,2021
orientação-a-objetos,13,11,5,5,247,42,90,2020
orientação-a-objetos,21,16,5,393,232,84,405,2019
orientação-a-objetos,40,20,4,518,710,143,651,2018
orientação-a-objetos,57,34,5,542,316,252,1213,2017
orientação-a-objetos,25,17,5,17,295,121,642,2016
orientação-a-objetos,75,34,4,28,394,592,3864,2015
orientação-a-objetos,103,40,5,120,480,947,4970,2014
php,141,120,6,21,50,23,30,2021
php,1341,1077,6,45,48,-569,78,2020
php,3310,2516,6,96,46,730,190,2019
php,5397,3984,5,206,45,1792,357,2018
php,7124,4955,5,219,53,4691,619,2017
php,5870,3987,5,380,58,5413,895,2016
php,6132,3798,5,434,64,9496,1383,2015
php,4027,2145,5,233,81,6770,2688,2014
php,118,39,6,128,139,660,8285,2013
postgresql,3,3,7,7,11,-1,18,2021
postgresql,24,21,5,21,30,-7,272,2020
postgresql,46,38,6,166,37,10,167,2019
postgresql,89,70,5,579,44,47,448,2018
postgresql,89,63,5,243,48,71,1306,2017
postgresql,80,53,5,449,37,66,975,2016
postgresql,35,22,5,3932,38,23,1534,2015
postgresql,24,14,5,259,68,48,3314,2014
postgresql,2,1,4,0,63,6,10000,2013
python,262,188,6,13,60,51,41,2021
python,2089,1460,6,59,86,223,123,2020
python,2166,1501,5,164,89,1069,425,2019
python,2059,1432,5,231,79,1178,817,2018
python,1745,1122,5,501,83,2233,2145,2017
python,754,497,5,817,72,1438,2174,2016
python,522,315,5,432,91,1331,3361,2015
python,259,151,5,275,75,657,2685,2014
python,31,13,6,113,143,189,4337,2013
python-3.x,14,8,5,2,57,10,40,2021
python-3.x,169,137,6,102,55,-41,129,2020
python-3.x,302,242,5,253,57,104,374,2019
python-3.x,236,190,5,482,50,67,663,2018
python-3.x,135,103,5,960,54,96,1338,2017
python-3.x,52,41,5,623,47,52,934,2016
python-3.x,14,9,5,1952,102,27,4811,2015
python-3.x,28,20,6,2943,61,37,554,2014
r,28,22,5,12,35,26,27,2021
r,381,291,6,32,47,420,73,2020
r,559,394,5,221,57,812,257,2019
r,486,372,5,464,50,896,397,2018
r,383,278,5,721,48,772,775,2017
r,281,208,5,424,59,776,871,2016
r,202,129,5,611,51,564,1239,2015
r,228,124,5,348,67,661,2860,2014
react,18,18,6,66,43,7,30,2021
react,146,122,6,109,42,-28,135,2020
react,103,81,5,182,40,29,380,2019
react,51,43,5,1017,63,43,1321,2018
react,15,14,6,454,33,12,408,2017
react,5,4,4,897,63,20,2781,2016
react,1,1,6,3820,99,1,236,2015
react-native,6,5,7,50,26,-1,17,2021
react-native,59,53,6,122,36,-22,199,2020
react-native,59,49,5,644,33,11,452,2019
react-native,40,33,5,397,34,4,743,2018
react-native,31,23,5,2105,43,33,1058,2017
react-native,2,2,6,9079,40,11,8544,2016
regex,1,1,9,0,69,4,32,2021
regex,27,19,6,14,132,31,117,2020
regex,30,24,5,184,116,28,157,2019
regex,63,46,5,709,94,60,443,2018
regex,110,64,5,181,88,190,1190,2017
regex,54,31,5,259,62,107,1509,2016
regex,37,19,5,536,104,114,863,2015
regex,47,19,5,180,101,184,9986,2014
regex,3,1,4,0,139,5,2000,2013
ruby,8,8,4,139,35,8,42,2020
ruby,21,14,5,280,72,8,148,2019
ruby,34,25,5,51,45,28,167,2018
ruby,37,31,5,365,42,49,368,2017
ruby,35,25,5,1930,48,33,439,2016
ruby,32,25,6,927,60,38,297,2015
ruby,62,43,5,476,71,105,440,2014
ruby,8,2,8,1,86,17,629,2013
ruby-on-rails,1,1,2,19,48,1,13,2021
ruby-on-rails,15,11,8,405,30,-6,46,2020
ruby-on-rails,37,31,5,235,33,3,86,2019
ruby-on-rails,49,42,5,321,36,11,179,2018
ruby-on-rails,124,97,5,285,34,60,228,2017
ruby-on-rails,133,98,5,311,43,110,183,2016
ruby-on-rails,145,107,5,553,35,100,316,2015
ruby-on-rails,186,136,5,251,52,182,394,2014
ruby-on-rails,2,1,5,19,101,9,509,2013
sql,29,22,5,18,34,15,32,2021
sql,307,243,6,52,40,24,82,2020
sql,601,445,6,38,39,270,248,2019
sql,1000,663,5,111,48,753,654,2018
sql,980,609,5,235,51,1117,1506,2017
sql,607,392,5,670,54,880,1759,2016
sql,537,326,5,482,63,994,2783,2015
sql,403,213,5,487,96,1425,6761,2014
sql,30,10,7,4584,85,156,17155,2013
sql-server,4,3,5,69,54,1,25,2021
sql-server,45,38,6,35,29,5,82,2020
sql-server,78,59,5,44,46,36,267,2019
sql-server,123,92,5,284,46,88,698,2018
sql-server,145,98,6,540,56,158,1235,2017
sql-server,147,93,6,107,55,158,2865,2016
sql-server,129,93,5,1216,52,228,2063,2015
sql-server,82,51,6,138,74,164,4134,2014
sql-server,6,3,9,4,40,16,1889,2013
string,15,13,6,12,63,8,78,2020
string,31,19,5,342,112,39,498,2019
string,27,19,6,10,37,25,1284,2018
string,31,20,5,31,88,47,1043,2017
string,24,17,5,424,43,34,1500,2016
string,27,20,5,620,46,82,1060,2015
string,45,16,5,113,210,224,2998,2014
swift,4,4,4,645,193,7,62,2020
swift,4,4,6,53,50,1,52,2019
swift,21,17,5,1431,34,6,107,2018
swift,34,26,6,668,44,20,166,2017
swift,64,48,5,533,38,30,195,2016
swift,44,31,5,1346,45,37,300,2015
swift,2,2,4,8,27,6,190,2014
terminologia,2,2,2,35,176,4,56,2021
terminologia,33,20,4,51,371,123,230,2020
terminologia,49,30,4,316,378,286,828,2019
terminologia,52,36,3,495,350,380,1129,2018
terminologia,193,107,3,528,291,1328,2239,2017
terminologia,107,47,3,17,375,992,4439,2016
terminologia,25,9,5,15,372,281,16846,2015
terminologia,17,6,4,4,404,139,9500,2014
twitter-bootstrap,6,5,4,100,30,-3,75,2020
twitter-bootstrap,41,36,6,5,39,27,215,2019
twitter-bootstrap,52,37,5,3,51,47,754,2018
twitter-bootstrap,26,19,5,14,55,38,3374,2017
twitter-bootstrap,38,26,5,344,27,30,1570,2016
twitter-bootstrap,96,66,5,372,47,108,1733,2015
twitter-bootstrap,35,23,4,1106,45,53,5295,2014
twitter-bootstrap,8,1,5,71,580,24,17000,2013
typescript,1,1,6,158,10,2,27,2021
typescript,34,28,6,182,91,43,218,2020
typescript,31,25,5,80,60,27,239,2019
typescript,48,37,5,1705,34,15,420,2018
typescript,9,9,6,1503,15,16,601,2017
typescript,6,6,4,991,25,6,384,2016
typescript,1,1,5,0,355,16,2000,2015
vb.net,1,1,7,1,23,0,13,2021
vb.net,5,4,6,312,14,-2,68,2020
vb.net,25,22,6,28,38,5,214,2019
vb.net,68,58,6,346,25,31,114,2018
vb.net,51,46,5,178,28,23,353,2017
vb.net,43,34,5,366,55,57,1171,2016
vb.net,67,50,6,1099,41,54,685,2015
vb.net,25,22,5,66,54,27,1186,2014
vba,8,8,5,14,30,0,20,2021
vba,25,22,5,189,46,-2,121,2020
vba,33,30,5,617,31,9,304,2019
vba,76,64,5,823,48,46,690,2018
vba,74,57,5,976,45,64,2072,2017
vba,19,17,6,1021,25,30,1344,2016
vba,26,18,5,644,62,37,2963,2015
vba,10,6,5,221,136,25,3266,2014
vba,1,1,7,0,24,9,15000,2013
visual-studio,4,4,6,792,29,-4,87,2020
visual-studio,18,15,6,136,26,10,267,2019
visual-studio,23,20,6,432,35,-2,674,2018
visual-studio,57,43,5,663,57,136,1342,2017
visual-studio,36,27,6,1047,58,64,4687,2016
visual-studio,16,11,6,35,60,36,1516,2015
visual-studio,13,10,6,12,63,51,2022,2014
vue.js,3,3,6,5,40,0,14,2021
vue.js,27,24,6,134,43,-1,84,2020
vue.js,54,47,5,414,32,8,159,2019
vue.js,75,60,5,305,51,44,531,2018
vue.js,60,45,5,1938,48,69,550,2017
vue.js,9,7,5,219,23,9,412,2016
windows,19,15,6,220,75,11,181,2020
windows,25,15,5,691,58,17,786,2019
windows,50,38,6,1148,45,32,928,2018
windows,77,48,6,1268,62,155,3665,2017
windows,48,33,5,788,79,69,1818,2016
windows,56,40,5,801,60,99,2288,2015
windows,55,31,5,758,77,118,3822,2014
wordpress,5,5,8,708,77,-3,39,2020
wordpress,45,42,5,205,31,-4,91,2019
wordpress,93,82,5,450,37,21,234,2018
wordpress,128,108,5,171,36,61,502,2017
wordpress,93,77,5,523,40,24,422,2016
wordpress,108,79,5,271,77,90,760,2015
wordpress,120,80,5,227,49,87,1242,2014
